BLFamilyLatin,BLFamilyEnglish,Coastal ,Notes
Struthionidae,Ostriches,,
Rheidae,Rheas,,
Casuariidae,Cassowaries,,
Dromaiidae,Emus,,
Apterygidae,Kiwis,,
Tinamidae,Tinamous,,
Cracidae,Guans and curassows,,
Megapodiidae,Megapodes,,
Phasianidae,"Grouse, pheasants and partridges",,
Numididae,Guineafowl,,
Odontophoridae,New World quails,,
Anhimidae,Screamers,,"Freshwater habitats like swamps, marshes, lagoons "
Anatidae,"Ducks, geese and swans",Yes,
Turnicidae,Buttonquails,,
Indicatoridae,Honeyguides,,
Picidae,Woodpeckers,,
Ramphastidae,Toucans and barbets,,
Galbulidae,Jacamars,,
Bucconidae,Puffbirds,,
Bucerotidae,Hornbills,,
Bucorvidae,Ground-hornbills,,
Phoeniculidae,Woodhoopoes,,
Trogonidae,Trogons,,
Coraciidae,Rollers,,
Brachypteraciidae,Ground-rollers,,
Leptosomidae,Cuckoo-Roller,,
Momotidae,Motmots,,
Alcedinidae,Kingfishers,Yes,
Meropidae,Bee-eaters,,
Coliidae,Mousebirds,,
Cuculidae,Cuckoos,,
Psittacidae,Parrots,,
Apodidae,Swifts,,
Hemiprocnidae,Treeswifts,,
Trochilidae,Hummingbirds,,
Musophagidae,Turacos,,
Tytonidae,Barn owls,,
Strigidae,Owls,,near coast but maybe not coastal? Im sure some hunt in estuarine watersheds 
Aegothelidae,Owlet-nightjars,,
Podargidae,Frogmouths,,
Steatornithidae,Oilbird,,
Nyctibiidae,Potoos,,
Caprimulgidae,Nightjars,,
Columbidae,Doves and pigeons,,
Otididae,Bustards,,
Gruidae,Cranes,Yes,Estuaries and saltwater marshes
Heliornithidae,Finfoots,Yes,"Coastal lagons, eat mollusks and crustaceans - not in dataset"
Cariamidae,Seriemas,,
Rallidae,"Rails, crakes and allies",Yes,coastal marshes or water 
Mesitornithidae,Mesites,,
Pteroclididae,Sandgrouse,,
Thinocoridae,Seedsnipes,,possibly coastal dunes
Scolopacidae,Sandpipers and allies,Yes,
Rostratulidae,Painted-snipes,Yes,coastal and inland wetlands
Jacanidae,Jacanas,Yes,freshwater wetlands
Chionidae,Sheathbills and allies,Yes,
Burhinidae,Thick-knees,Yes,
Haematopodidae,Oystercatchers,Yes,
Ibidorhynchidae,Ibisbill,,mountains rivers
Recurvirostridae,Stilts and avocets,Yes,
Charadriidae,Plovers,Yes,
Dromadidae,Crab Plover,Yes,
Glareolidae,Coursers and pratincoles,,
Stercorariidae,Skuas and jaegers,Yes,
Laridae,Gulls and terns,Yes,
Alcidae,Auks,Yes,
Accipitridae,"Osprey, kites, hawks and eagles",,INVESTIGATE
Falconidae,Falcons and caracaras,,INVESTIGATE
Podicipedidae,Grebes,Yes,
Sulidae,Gannets and boobies,Yes,
Anhingidae,Anhingas,Yes,brackish water sometimes
Phalacrocoracidae,Cormorants,Yes,
Ardeidae,Herons and egrets,Yes,
Phoenicopteridae,Flamingos,Yes,freshwater and beaches
Threskiornithidae,Ibises and spoonbills,Yes,some in coastal lagoons
Pelecanidae,Pelicans,Yes,
Cathartidae,New World vultures,,INVESTIGATE
Ciconiidae,Storks,Yes,wetlands - freshwater and saltwater
Fregatidae,Frigatebirds,Yes,
Spheniscidae,Penguins,Yes,
Gaviidae,Loons or divers,Yes,
Procellariidae,Petrels and shearwaters,Yes,
Pelecanoididae,Diving-petrels,Yes,
Diomedeidae,Albatrosses,Yes,
Hydrobatidae,Storm-petrels,Yes,
Acanthisittidae,New Zealand wrens,,
Pittidae,Pittas,,
Eurylaimidae,Broadbills,,
Philepittidae,Asities,,
Tyrannidae,Tyrant-flycatchers,,
Cotingidae,Cotingas,,
Pipridae,Manakins,,
Thamnophilidae,Antbirds,,
Formicariidae,Antthrushes and antpittas,,
Furnariidae,Ovenbirds,,
Dendrocolaptidae,Woodcreepers,,
Conopophagidae,Gnateaters,,
Rhinocryptidae,Tapaculos,,
Climacteridae,Australian treecreepers,,
Menuridae,Lyrebirds,,
Atrichornithidae,Scrub-birds,,
Ptilonorhynchidae,Bowerbirds,,
Maluridae,Australasian wrens,,
Meliphagidae,Honeyeaters,,
Zosteropidae,White-eyes,,
Pardalotidae,Pardalotes,,
Dasyornithidae,Bristlebirds,,
Acanthizidae,Thornbills and gerygones,,
Petroicidae,Australasian robins,,
Irenidae,Fairy-bluebirds,,
Chloropseidae,Leafbirds,,
Orthonychidae,Logrunners,,
Pomatostomidae,Australasian babblers,,
Laniidae,Shrikes,,
Vireonidae,Vireos and allies,,
Eupetidae,"Whipbirds, wedgebills and jewel-babblers",,
Cinclosomatidae,Quail-thrushes,,
Corcoracidae,Australian mudnesters,,
Neosittidae,Sittellas,,
Falcunculidae,Shrike-tits,,
Colluricinclidae,Shrike-thrushes and allies,,
Pachycephalidae,Whistlers,,
Corvidae,Crows and jays,,
Paridae,Tits and chickadees,,
Cnemophilidae,Satin birds,,
Paradisaeidae,Birds of paradise,,
Cracticidae,Butcherbirds,,
Artamidae,Woodswallows,,
Pityriaseidae,Bristlehead,,
Oriolidae,Orioles and figbirds,,
Campephagidae,Cuckoo-shrikes,,
Rhipiduridae,Fantails,,
Dicruridae,Drongos,,
Muscicapidae,Chats and Old World flycatchers,,
Monarchidae,Monarchs,,
Machaerirhynchidae,Boatbills,,
Aegithinidae,Ioras,,
Malaconotidae,"Helmetshrikes, bushshrikes and puffbacks",,
Platysteiridae,"Shrike-flycatchers, wattle-eyes and batises",,
Vangidae,Vangas,,
Callaeatidae,Wattled crows,,
Turdidae,Thrushes,,
Picathartidae,Rockfowl,,
Dulidae,Palmchat,,
Bombycillidae,Waxwings,,
Cinclidae,Dippers,,
Timaliidae,Babblers and parrotbills,,
Sturnidae,Starlings,,
Mimidae,Mockingbirds and thrashers,,
Sittidae,Nuthatches and Wallcreeper,,
Certhiidae,Treecreepers,,
Troglodytidae,Wrens,,
Remizidae,Penduline-tits,,
Polioptilidae,Gnatcatchers,,
Aegithalidae,Long-tailed Tits,,
Hirundinidae,Swallows and martins,,
Reguliidae,Goldcrests and kinglets,,
Pycnonotidae,Bulbuls,,
Sylviidae,Old World warblers,,
Cisticolidae,Cisticolas and allies,,
Rhabdornithidae,Philippine creepers,,
Alaudidae,Larks,,
Promeropidae,Sugarbirds,,
Dicaeidae,Flowerpeckers,,
Nectariniidae,Sunbirds,,
Melanocharitidae,Berrypeckers,,
Passeridae,"Sparrows, snowfinches and allies",,
Motacillidae,Wagtails and pipits,,
Prunellidae,Accentors,,
Ploceidae,Weavers and allies,,
Viduidae,Indigobirds and allies,,
Estrildidae,"Waxbills, grass finches, munias and allies",,
Peucedramidae,Olive Warbler,,
Fringillidae,Finches and Hawaiian honeycreepers,,
Urocynchramidae,Pink-tailed Bunting,,
Emberizidae,"Buntings, American sparrows and allies",,
Parulidae,New World warblers,,
Cardinalidae,"Grosbeaks, saltators and allies",,
Coerebidae,Bananaquit,,
Thraupidae,Tanagers,,
Icteridae,New World blackbirds,,
Opisthocomidae,Hoatzin,,
Scopidae,Hammerkop,,
Sapayoaidae,Sapayoa,,
Anseranatidae,Magpie Goose,,
Eurypygidae,Sunbittern,,
Psophiidae,Trumpeters,,
Upupidae,Hoopoes,,
Todidae,Todies,,
Rhynochetidae,Kagu,,
Phaethontidae,Tropicbirds,,
Aramidae,Limpkin,,
Balaenicipitidae,Shoebill,,
Pedionomidae,Plains Wanderer,,
